Id,Name,ccrz__BillAddress__c,ccrz__BillTo__c,ccrz__CCOrder__c,ccrz__CCOrder__r,ccrz__CCOrder__r.Id,ccrz__CCOrder__r.Name,ccrz__CCOrder__r.ccrz__BuyerCompanyName__c,ccrz__CCOrder__r.Billing_Company_Name__c,ccrz__CCOrder__r.Total_Cost__c,ccrz__Comments__c,ccrz__Contact__c,ccrz__CurrencyCode__c,ccrz__DateDue__c,ccrz__DateIssued__c,ccrz__InvoiceId__c,ccrz__OriginalAmount__c,ccrz__PaidAmount__c,ccrz__ParentInvoice__c,ccrz__RemainingAmount__c,ccrz__SoldAddress__c,ccrz__SoldTo__c,ccrz__Status__c,ccrz__Storefront__c,ccrz__Terms__c,ccrz__Type__c,CreatedDate
a0Z5d00000bFZ7LEAW,I-0000009820,a0P5d00001AO0o1EAD,0013h000013OnazAAC,a0n5d00000XU0yJAAT,[ccrz__E_Order__c],a0n5d00000XU0yJAAT,O-0000013419,,Idemitsu Lubricants America Corp,49615.7,,0035d00006UTFkbAAH,USD,,2022-09-07,,54660.0,0,,54660.0,a0P5d00001AO0o2EAD,0013h000013OnazAAC,Open,DefaultStore,,Debit,2022-09-07T19:06:25.000+0000
a0Z5d00000ba0nPEAQ,I-0000004593,a0P5d000018jM22EAE,0013h00000t5b9WAAQ,a0n5d00000UzqUMAAZ,[ccrz__E_Order__c],a0n5d00000UzqUMAAZ,O-0000008189,,"Dolomite Products Company, Inc.",0.0,,0035d00006dJqsnAAC,USD,,2022-03-30,,1903.0,0,,1903.0,a0P5d000018jM23EAE,0013h00000t5vGyAAI,Open,DefaultStore,,Debit,2022-03-30T18:03:15.000+0000
a0Z5d00000baHBMEA2,I-0000005819,a0P5d000018jsErEAI,0013h000012WjOvAAK,a0n5d00000V2llIAAR,[ccrz__E_Order__c],a0n5d00000V2llIAAR,O-0000009415,,Multitherm,0.0,,0035d00006Z5a31AAB,USD,,2022-05-03,,66725.45,0,,66725.45,a0P5d000018jsEsEAI,0013h000012WjOvAAK,Open,DefaultStore,,Debit,2022-05-03T18:42:46.000+0000
a0Z5d00000b2I6dEAE,I-0000008081,a0P5d000018YPjhEAG,0013h00000ztMKZAA2,a0n5d00000W1CIRAA3,[ccrz__E_Order__c],a0n5d00000W1CIRAA3,O-0000011678,,Grade A Petroleum,7209.54,,0035d00006Z4Mh6AAF,USD,,2022-07-13,,9434.88,0,,9434.88,a0P5d000018YPjiEAG,0013h00000ztMKZAA2,Open,DefaultStore,,Debit,2022-07-13T13:32:15.000+0000
a0Z5d00000b1uB4EAI,I-0000007183,a0P5d000018XiBPEA0,0013h00000xrz95AAA,a0n5d00000Ucq3DAAR,[ccrz__E_Order__c],a0n5d00000Ucq3DAAR,O-0000010779,,MCLANE MIDATLANTIC,9171.46,,0035d00006fWgk4AAC,USD,,2022-06-14,,12951.06,0,,12951.06,a0P5d000018XiBQEA0,0013h00000xrz95AAA,Open,DefaultStore,,Debit,2022-06-14T19:22:43.000+0000
a0Z5d00000bHEKGEA4,I-0000013068,a0P5d00001CoZmNEAV,0013h00000xrz2HAAQ,a0n5d00000YRtL5AAL,[ccrz__E_Order__c],a0n5d00000YRtL5AAL,O-0000016674,,Sunoco Inc.,879.44,,0035d00006oNFvCAAW,USD,,2022-12-28,,1348.98,0,,1348.98,a0P5d00001CoZmOEAV,0013h00000xrz2HAAQ,Open,DefaultStore,,Debit,2022-12-28T15:24:40.000+0000
a0Z5d00000b20ybEAA,I-0000007549,a0P5d000018XuFAEA0,0013h00000zvDNlAAM,a0n5d00000UdfbzAAB,[ccrz__E_Order__c],a0n5d00000UdfbzAAB,O-0000011146,,Vesco Oil Corporation,11599.56,,0035d00006Z2Q1tAAF,USD,,2022-06-24,,18587.04,0,,18587.04,a0P5d000018XuFBEA0,0013h00000zvDNlAAM,Open,DefaultStore,,Debit,2022-06-24T20:26:15.000+0000
a0Z5d00000b2I5QEAU,I-0000008069,a0P5d000018YPcgEAG,0015d00003O7wDZAAZ,a0n5d00000W1C6tAAF,[ccrz__E_Order__c],a0n5d00000W1C6tAAF,O-0000011666,,Atlantic States Lubricants Corp,5505.06,,0035d00006USq6CAAT,USD,,2022-07-13,,6414.4,0,,6414.4,a0P5d000018YPchEAG,0015d00003O7wDZAAZ,Open,DefaultStore,,Debit,2022-07-13T12:43:46.000+0000
a0Z5d00000bGWYkEAO,I-0000011765,a0P5d00001Cmxm2EAB,0013h00000JQpl3AAD,a0n5d00000Y6WcZAAV,[ccrz__E_Order__c],a0n5d00000Y6WcZAAV,O-0000015368,,AutoPro Spring Valley,1339.5,,0033h00000MYLaCAAX,USD,,2022-11-09,,1702.5,0,,1702.5,a0P5d00001Cmxm3EAB,0013h00000JQpsoAAD,Open,DefaultStore,,Debit,2022-11-09T13:23:08.000+0000
a0Z5d00000bjP7yEAE,I-0000017833,a0P5d00001E9fGxEAJ,0015d00003RxBbXAAV,a0n5d00000VVeuZAAT,[ccrz__E_Order__c],a0n5d00000VVeuZAAT,O-0000021479,,"Ocean State Oil, Inc",42981.0,,0035d00006Z3PeMAAV,USD,,2023-06-08,,59320.0,0,,59320.0,a0P5d00001E9fGyEAJ,0015d00003RxBbXAAV,Open,DefaultStore,,Debit,2023-06-08T13:33:28.000+0000
a0Z5d00000b27ToEAI,I-0000007773,a0P5d000018Y4DnEAK,0013h00000ztMKZAA2,a0n5d00000UeFkrAAF,[ccrz__E_Order__c],a0n5d00000UeFkrAAF,O-0000011370,,Grade A Petroleum,1822.4,,0035d00006Z4Mh6AAF,USD,,2022-07-01,,2428.8,0,,2428.8,a0P5d000018Y4DoEAK,0013h00000ztMKZAA2,Open,DefaultStore,,Debit,2022-07-01T14:57:59.000+0000
a0Z5d00000bFRgREAW,I-0000009593,a0P5d00001ANnb5EAD,0013h00000zugGdAAI,a0n5d00000XTJdJAAX,[ccrz__E_Order__c],a0n5d00000XTJdJAAX,O-0000013192,,Petrochoice,49416.14,,0035d00006oL0rTAAS,USD,,2022-08-30,,54255.0,0,,54255.0,a0P5d00001ANnb6EAD,0013h00000zugGdAAI,Open,DefaultStore,,Debit,2022-08-30T16:50:16.000+0000
a0Z5d00000baGJ3EAM,I-0000005489,a0P5d000018jjlEEAQ,0013h00000vLrpkAAC,a0n5d00000V250dAAB,[ccrz__E_Order__c],a0n5d00000V250dAAB,O-0000009085,,Preferred Materials Inc,0.0,,0035d00006Z4MxTAAV,USD,,2022-04-25,,4118.55,0,,4118.55,a0P5d000018jjlFEAQ,0013h00000xryjfAAA,Open,DefaultStore,,Debit,2022-04-25T17:53:38.000+0000
a0Z5d00000bEyvEEAS,I-0000008702,a0P5d00001AN1CYEA1,0013h00000ztMKZAA2,a0n5d00000XQviSAAT,[ccrz__E_Order__c],a0n5d00000XQviSAAT,O-0000012300,,Grade A Petroleum,47342.53,,0035d00006QfszvAAB,USD,,2022-08-02,,53840.0,0,,53840.0,a0P5d00001AN1CZEA1,0013h00000ztMKZAA2,Open,DefaultStore,,Debit,2022-08-02T12:46:59.000+0000
a0Z5d00000baObtEAE,I-0000006466,a0P5d000018k8KMEAY,0013h00000vLrpkAAC,a0n5d00000VXoaQAAT,[ccrz__E_Order__c],a0n5d00000VXoaQAAT,O-0000010062,,Preferred Materials Inc,1032.9,,0035d00006Z4MxTAAV,USD,,2022-05-23,,1156.1,0,,1156.1,a0P5d000018k8KNEAY,0013h00000xryjDAAQ,Open,DefaultStore,,Debit,2022-05-23T16:34:23.000+0000
